region,municipality,district,party,votes
Blekinge län,Karlskrona,14 - Uppsamlingsdistrikt,V,32
Blekinge län,Karlskrona,14 - Uppsamlingsdistrikt,L,30
Blekinge län,Karlskrona,14 - Uppsamlingsdistrikt,MP,26
Blekinge län,Karlskrona,14 - Uppsamlingsdistrikt,KD,21
Blekinge län,Karlskrona,14 - Uppsamlingsdistrikt,ÖVR,11
Blekinge län,Karlskrona,14 - Uppsamlingsdistrikt,FI,8
Blekinge län,Karlskrona,14 - Uppsamlingsdistrikt,BLANK,5
Blekinge län,Karlskrona,14 - Uppsamlingsdistrikt,OGEJ,0
Blekinge län,Karlskrona,14 - Uppsamlingsdistrikt,OG,0
Blekinge län,Karlskrona,16 - Fridlevstad,SD,361
Blekinge län,Karlskrona,16 - Fridlevstad,S,283
Blekinge län,Karlskrona,16 - Fridlevstad,M,127
Blekinge län,Karlskrona,16 - Fridlevstad,KD,64
Blekinge län,Karlskrona,16 - Fridlevstad,C,60
Blekinge län,Karlskrona,16 - Fridlevstad,V,39
Blekinge län,Karlskrona,16 - Fridlevstad,L,37
Blekinge län,Karlskrona,16 - Fridlevstad,MP,22
Blekinge län,Karlskrona,16 - Fridlevstad,ÖVR,14
Blekinge län,Karlskrona,16 - Fridlevstad,BLANK,12
Blekinge län,Karlskrona,16 - Fridlevstad,FI,1
Blekinge län,Karlskrona,16 - Fridlevstad,OGEJ,1
Blekinge län,Karlskrona,16 - Fridlevstad,OG,1
Blekinge län,Karlskrona,17 - Hasslö,S,458
Blekinge län,Karlskrona,17 - Hasslö,SD,301
Blekinge län,Karlskrona,17 - Hasslö,M,145
Blekinge län,Karlskrona,17 - Hasslö,V,81
Blekinge län,Karlskrona,17 - Hasslö,KD,70
Blekinge län,Karlskrona,17 - Hasslö,C,57
Blekinge län,Karlskrona,17 - Hasslö,L,35
Blekinge län,Karlskrona,17 - Hasslö,MP,26
Blekinge län,Karlskrona,17 - Hasslö,BLANK,15
Blekinge län,Karlskrona,17 - Hasslö,ÖVR,8
Blekinge län,Karlskrona,17 - Hasslö,FI,3
Blekinge län,Karlskrona,17 - Hasslö,OGEJ,1
Blekinge län,Karlskrona,17 - Hasslö,OG,0
Blekinge län,Karlskrona,18 - Kungsmarken,S,497
Blekinge län,Karlskrona,18 - Kungsmarken,SD,83
Blekinge län,Karlskrona,18 - Kungsmarken,V,69
Blekinge län,Karlskrona,18 - Kungsmarken,M,33
Blekinge län,Karlskrona,18 - Kungsmarken,MP,15
Blekinge län,Karlskrona,18 - Kungsmarken,C,13
Blekinge län,Karlskrona,18 - Kungsmarken,BLANK,10
Blekinge län,Karlskrona,18 - Kungsmarken,ÖVR,9
Blekinge län,Karlskrona,18 - Kungsmarken,L,8
Blekinge län,Karlskrona,18 - Kungsmarken,KD,8
Blekinge län,Karlskrona,18 - Kungsmarken,FI,1
Blekinge län,Karlskrona,18 - Kungsmarken,OGEJ,0
Blekinge län,Karlskrona,18 - Kungsmarken,OG,0
Blekinge län,Karlskrona,19 - Marieberg m.fl.,S,347
Blekinge län,Karlskrona,19 - Marieberg m.fl.,SD,208
Blekinge län,Karlskrona,19 - Marieberg m.fl.,M,112
Blekinge län,Karlskrona,19 - Marieberg m.fl.,V,85
Blekinge län,Karlskrona,19 - Marieberg m.fl.,KD,38
Blekinge län,Karlskrona,19 - Marieberg m.fl.,C,33
Blekinge län,Karlskrona,19 - Marieberg m.fl.,L,30
Blekinge län,Karlskrona,19 - Marieberg m.fl.,MP,29
Blekinge län,Karlskrona,19 - Marieberg m.fl.,BLANK,16
Blekinge län,Karlskrona,19 - Marieberg m.fl.,ÖVR,15
Blekinge län,Karlskrona,19 - Marieberg m.fl.,FI,4
Blekinge län,Karlskrona,19 - Marieberg m.fl.,OGEJ,0
